"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"263243","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","Lake Michigan, Station T-3, off Benton Harbor, MI","42.16667","-86.71667","reported","Accurate","Lake Michigan","04190000","2002","","","established","","Literature","","","Freshwater","18129","Database","2008","Great Lakes Information Network.","Invasive Species Mapping in Michigan: Data Downloads.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236929","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","Lake Michigan off St. Joseph (Station A-2)","42.1","-86.6167","reported","Accurate","Lake Michigan","04190000","2003","","","established","Depth 35 m","Literature","","","Freshwater","15973","Database","2003","Nalepa, Thomas.","Quagga and zebra mussel locations in southern Lake Michigan.","NOAA-GLERL.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555948","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","[No locality description provided]","41.9833","-86.6","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=240365 target = _blank >MISIN report ID 240365</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561192","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","[No locality description provided]","42.1392","-86.6638","reported","Accurate","Lake Michigan","04190000","2014","1","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=439114 target = _blank >MISIN report ID 439114</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556012","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","Lake Michigan [No locality description provided]","42","-86.6847","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=240525 target = _blank >MISIN report ID 240525</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556081","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","[No locality description provided]","42.1083","-86.5333","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=242114 target = _blank >MISIN report ID 242114</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556087","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","[No locality description provided]","42.13235","-86.50154","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=242289 target = _blank >MISIN report ID 242289</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556088","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Berrien","[No locality description provided]","42.1392","-86.6638","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=242325 target = _blank >MISIN report ID 242325</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559732","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","[No locality description provided]","45.66807","-85.80212","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=290690 target = _blank >MISIN report ID 290690</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1564718","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","[No locality description provided]","45.66807","-85.80212","reported","Accurate","Lake Michigan","04190000","2014","1","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=438913 target = _blank >MISIN report ID 438913</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155944","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Lake Michigan at Gull Island Reef","45.668069","-85.80212","Map derived","Accurate","Lake Michigan","04190000","2000","7","","established","Collected at 8m water depth.","Literature","","","Freshwater","13238","Journal Article","2001","Nalepa, T.F., D.W. Schloesser, S.A. Pothoven, D.W. Hondorp, D.L. Fanslow, M.L. Tuchman, and G.W. Fleischer","First finding of the amphipod <em>Echinogammarus ischnus</em> and the mussel <em>Dreissena bugensis</em> in Lake Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321701","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Station 74900","45.4457","-85.22183","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321758","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Station EA-7","45.2833","-85.33433","reported","Accurate","Boardman-Charlevoix","04060105","2005","7","","established","Quagga mussels present 2005","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321704","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Station 76451","45.7227","-85.3315","reported","Accurate","Lake Michigan","04190000","2000","","","established","","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321705","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Station 76462","45.535","-85.636","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321708","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Charlevoix","Station 78030","45.812","-85.718","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"279913","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","Lake Huron, at Cheboygan River mouth","45.65451","-84.46628","reported","Accurate","Cheboygan","04070004","2011","9","7","established","Water Depth = 6.4 m","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1605230","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","[No locality description provided]","45.46903","-84.58043","reported","Accurate","Cheboygan","04070004","2015","8","12","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=548682 target = _blank >MISIN report ID 548682</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1601217","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","[No locality description provided]","45.47206","-84.58174","reported","Accurate","Cheboygan","04070004","2012","7","24","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=548681 target = _blank >MISIN report ID 548681</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253899","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","Lake Huron, at the Straits of Mackinac, south shores","45.721522","-84.572754","Map derived","Accurate","Lake Huron","04240002","1997","","","unknown","","Literature","","","Freshwater","17446","Database","2017","Great Lakes Indian Fish and Wildlife Commission (GLIFWC).","Exotic Species Information Center.","Great Lakes Indian Fish and Wildlife Commission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609154","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","[No locality description provided]","45.50727","-84.536","reported","Accurate","Cheboygan","04070004","2017","7","17","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=649829 target = _blank >MISIN report ID 649829</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1691857","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Cheboygan","Mullett Lake","45.50727","-84.536","reported","Accurate","Cheboygan","04070004","2017","","","unknown","","Personal communication","","","Freshwater","37885","Database","2022","MI-EGLE","Unpublished MI-EGLE Monitoring Data (2 spreadsheets)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460520","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Chippewa","St. Marys River","46.0763","-83.75672","reported","Accurate","Lake Huron","04240002","2017","7","10","established","","Literature","","","Freshwater","31326","Database","2018","Bowen, A.","Invasive Species Catch 2017","U.S. Fish and Wildlife Service","Alpena, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1402454","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Chippewa","ST. MARYS RIVER","46.01462","-83.80181","reported","Accurate","Lake Huron","04240002","2016","8","3","established","","Literature","","","Freshwater","29898","Database","2017","Bowen, A.","Invasive species monitoring in the Lake Erie and Lake Huron, 2013-2016.","U.S. Fish and Wildlife Service","Alpena, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1402635","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Chippewa","ST. MARYS RIVER","46.10954","-83.83191","reported","Accurate","Lake Huron","04240002","2016","8","3","established","","Literature","","","Freshwater","29898","Database","2017","Bowen, A.","Invasive species monitoring in the Lake Erie and Lake Huron, 2013-2016.","U.S. Fish and Wildlife Service","Alpena, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321747","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Station BBDN-3","45.5417","-86.74167","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321746","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Station BBDN-1","45.7","-86.74167","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321748","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Station BBDN-2","45.6208","-86.74167","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321719","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Station 84450","45.603","-87.097","reported","Accurate","Lake Michigan","04190000","2000","","","established","Quagga mussels present 2000, 2005, 2010","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"785781","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Lake Michigan, South River Bay at Fairbanks","45.74541","-86.62592","reported","Accurate","Fishdam-Sturgeon","04030112","2013","7","14","established","","Literature","","","Freshwater","27221","Database","2015","Brady, V.","Great Lakes Coastal Monitoring Project: inverts dataset (through 2013)","Environmental Protection Agency, Great Lakes National Program Office","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"785817","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Puffy Creek at Fairbanks Township","45.77087","-86.59946","reported","Accurate","Fishdam-Sturgeon","04030112","2012","7","22","established","","Literature","","","Freshwater","27221","Database","2015","Brady, V.","Great Lakes Coastal Monitoring Project: inverts dataset (through 2013)","Environmental Protection Agency, Great Lakes National Program Office","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"785829","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Ogontz River at mouth","45.86591","-86.76464","reported","Accurate","Fishdam-Sturgeon","04030112","2012","7","21","established","","Literature","","","Freshwater","27221","Database","2015","Brady, V.","Great Lakes Coastal Monitoring Project: inverts dataset (through 2013)","Environmental Protection Agency, Great Lakes National Program Office","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"785793","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Delta","Lake Michigan, at Bay De Noc shoreline near Lakeview Spur A (at Public Shoreline Beach - St. Vitals)","45.8113","-86.77441","reported","Accurate","Fishdam-Sturgeon","04030112","2012","7","21","established","","Literature","","","Freshwater","27221","Database","2015","Brady, V.","Great Lakes Coastal Monitoring Project: inverts dataset (through 2013)","Environmental Protection Agency, Great Lakes National Program Office","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242561","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","Lake Michigan [off Wilderness State Park Beach]","45.768481","-84.927063","Map derived","Accurate","Lake Michigan","04190000","1997","8","","established","","Literature","","","Freshwater","13238","Journal Article","2001","Nalepa, T.F., D.W. Schloesser, S.A. Pothoven, D.W. Hondorp, D.L. Fanslow, M.L. Tuchman, and G.W. Fleischer","First finding of the amphipod <em>Echinogammarus ischnus</em> and the mussel <em>Dreissena bugensis</em> in Lake Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"873202","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","Crooked Lake, in Conway, at boat launch","45.42157","-84.86148","Map derived","Accurate","Cheboygan","04070004","2015","7","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559747","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","[No locality description provided]","45.76848","-84.92706","reported","Accurate","Lake Michigan","04190000","2013","8","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=292454 target = _blank >MISIN report ID 292454</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1691882","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","Crooked Lake","45.411","-84.8352","reported","Accurate","Cheboygan","04070004","2019","","","established","","Personal communication","","","Freshwater","37885","Database","2022","MI-EGLE","Unpublished MI-EGLE Monitoring Data (2 spreadsheets)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1564761","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","[No locality description provided]","45.76848","-84.92706","reported","Accurate","Lake Michigan","04190000","2014","1","15","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=438909 target = _blank >MISIN report ID 438909</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","27378","Database","2020","Cranberg, C., and R. Keller","Illinois Database of Aquatic Non-native Species","School of Environmental Sustainability, Loyola University Chicago","Chicago, IL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1605220","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Emmet","[No locality description provided]","45.41914","-84.85937","reported","Accurate","Cheboygan","04070004","2015","7","8","established","<a href = https://www.misin.msu.edu/report/misin/submit/summary/printRecord.php?obs=reprint&id=507420 target = _blank >MISIN report ID 507420</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321750","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Grand Traverse","Station EA-1","44.7833","-85.51667","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321751","95","Mollusks-Bivalves","Dreissenidae","Dreissena rostriformis bugensis","quagga mussel","United States of America","MI","Grand Traverse","Station EA-2","44.7833","-85.55","reported","Accurate","Lake Michigan","04190000","2005","7","","established","Quagga mussels present 2005","Literature","","","Freshwater","28738","Database","2016","Baldridge, Ashley","Tech memo 164, Baldridge Unpub>
Lake Michigan Dreissena Density Database 3 May 2016","NOAA GLERL","","28933","Report","2014","Nalepa, T.F.. D.L. Fanslow, G.A. Lang, K.Mabrey, and M.Rowe","Lake-Wide Benthic Surveys in Lake Michigan in 1994-95, 2000, 2005, and 2010: Abundances of the Ampipod Diporeia Spp. and Abundances and Biomass of the Mussels Driessena Polymorpha and Dreissena Rostriformis Bugensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
